isbn,title,pages,year,publisher,LibraryName,author
978-960-266-320-2,ΕΙΣΑΓΩΓΗ ΣΤΗ ΝΑΝΟΒΙΟΦΥΣΙΚΗ ΚΑΙ ΟΠΤΙΚΗ ΑΠΕΙΚΟΝΙΣΗ,789,2011,Εκδοτικός Οίκος Φυσικής,NTUA,ΔΙΔΩ ΓΙΟΒΑ
9789604563135,ΦΥΣΙΚΗ ΣΤΕΡΕΑΣ ΚΑΤΑΣΤΑΣΗΣ,1137,2012,Εκδοτικός Οίκος Φυσικής,NTUA,LÜTH HANS
960-02-1088-8,"ΗΛΕΚΤΡΟΜΑΓΝΗΤΙΣΜΟΣ, ΟΠΤΙΚΗ, ΣΥΓΧΡΟΝΗ ΦΥΣΙΚΗ",1301,1994,Εκδοτικός Οίκος Φυσικής,NTUA,HUGH D YOUNG
960-254-659-X,Η ΓΟΗΤΕΙΑ ΤΩΝ ΠΑΡΑΞΕΝΩΝ ΚΟΥΑΡΚ,643,2006,Εκδοτικός Οίκος Φυσικής,NTUA,MICHAEL R BARNETT
960-7225-25-2,ΦΥΣΙΚΗ ΙΙΙ,1051,2009,Εκδοτικός Οίκος Φυσικής,NTUA,ΠΑΝΑΓΙΩΤΗΣ Φ. ΜΟΙΡΑΣ
960-8250-12-9,ΕΦΑΡΜΟΣΜΕΝΑ ΜΑΘΗΜΑΤΙΚΑ,952,1994,Εκδοτικός Οίκος Φυσικής,NTUA,ΓΙΑΝΝΗΣ ΓΚΑΡΟΥΤΣΟΣ
960-524-038-6,ΦΥΣΙΚΗ ΣΤΕΡΕΑΣ ΚΑΤΑΣΤΑΣΗΣ ΤΟΜΟΣ 1,1222,1997,Εκδοτικός Οίκος Φυσικής,NTUA,Ε Ν ΟΙΚΟΝΟΜΟΥ
960-319-260-0,ΦΥΣΙΚΗ,1139,2004,Εκδοτικός Οίκος Φυσικής,NTUA,Νίκος Παταργιάς
978-960-266-001-0,ΦΥΣΙΚΗ ΤΩΝ ΤΑΛΑΝΤΩΣΕΩΝ ΚΑΙ ΤΩΝ ΚΥΜΑΤΩΝ,1111,1997,Εκδοτικός Οίκος Φυσικής,NTUA,H J PAIN
101-1312-6313,ΕΡΓΑΣΤΗΡΙΑΚΕΣ ΑΣΚΗΣΕΙΣ ΦΥΣΙΚΗΣ ΤΟΜΟΣ ΙI,362,2010,Εκδοτικός Οίκος Φυσικής,NTUA,Κ ΠΑΠΑΔΟΠΟΥΛΟΣ
960-266-173-9,ΕΡΓΑΣΤΗΡΙΑΚΕΣ ΑΣΚΗΣΕΙΣ ΦΥΣΙΚΗΣ ΤΟΜΟΣ Ι,1421,1999,Εκδοτικός Οίκος Φυσικής,NTUA,Κ ΧΡΙΣΤΟΔΟΥΛΙΔΗΣ
960-254-649-2,ΗΛΕΚΤΡΙΣΜΟΣ ΚΑΙ ΜΑΓΝΗΤΙΣΜΟΣ,610,2004,Εκδοτικός Οίκος Φυσικής,NTUA,EDWARD M PURCELL
101-1312-8549,ΚΥΜΑΤΙΚΗ,1023,1994,Εκδοτικός Οίκος Φυσικής,NTUA,FRANK .S CRAWFORD JR.
978-960-02-2338-5,ΠΑΝΕΠΙΣΤΗΜΙΑΚΗ ΦΥΣΙΚΗ,1439,2009,Εκδοτικός Οίκος Φυσικής,NTUA,HUGH D YOUNG
101-1312-4296,ΕΙΣΑΓΩΓΗ ΣΤΗ ΦΥΣΙΚΗ ΣΤΕΡΕΑΣ ΚΑΤΑΣΤΑΣΕΩΣ,469,1976,Εκδοτικός Οίκος Φυσικής,NTUA, o poutsos mou
960-254-604-2,ΕΙΣΑΓΩΓΗ ΣΤΙΣ ΕΝΝΟΙΕΣ ΚΑΙ ΤΙΣ ΘΕΩΡΙΕΣ ΤΗΣ ΦΥΣΙΚΗΣ ΕΠΙΣΤΗΜΗΣ,1251,2002,Εκδοτικός Οίκος Φυσικής,NTUA,GERALD HOLTON
978-960-7225-18-4,ΦΥΣΙΚΗ ΙΙ ΗΛΕΚΤΡΟΜΑΓΝΗΤΙΣΜΟΣ,1403,2005,Εκδοτικός Οίκος Φυσικής,NTUA,ΠΑΝΑΓΙΩΤΗΣ Φ. ΜΟΙΡΑΣ
978-960-266-395-0,ΘΕΩΡΙΑ ΠΕΔΙΟΥ,1343,2012,Εκδοτικός Οίκος Φυσικής,NTUA,YOAN D LANDAU
978-960-524-059-2,ΣΥΓΧΡΟΝΗ ΦΥΣΙΚΗ,927,2015,Εκδοτικός Οίκος Φυσικής,NTUA,RAYMOND A SERWAY
101-1312-7878,ΕΡΓΑΣΤΗΡΙΑΚΕΣ ΑΣΚΗΣΕΙΣ ΦΥΣΙΚΗΣ,1156,2004,Εκδοτικός Οίκος Φυσικής,NTUA,Κ ΧΡΙΣΤΟΔΟΥΛΙΔΗΣ
960-209-896-1,ΑΛΓΟΡΙΘΜΟΙ ΣΕ C,1143,2005,Εκδοτικός Οίκος Adam Turing,NTUA,ROBERT SEDGEWICK
978-960-411-715-4,ΨΗΦΙΑΚΗ ΑΝΑΛΥΣΗ ΣΗΜΑΤΟΣ,836,2010,Εκδοτικός Οίκος Adam Turing,NTUA,JOHN G PROAKIS
978-960-11-0004-3,ΓΡΑΦΙΚΑ,748,1999,Εκδοτικός Οίκος Adam Turing,NTUA,Θ Α ΘΕΟΧΑΡΗΣ
978-960-546-692-3,ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ ΚΑΙ ΑΛΓΟΡΙΘΜΟΙ,1407,2016,Εκδοτικός Οίκος Adam Turing,NTUA,BRUNO PREISS
978-960-489-152-8,ΣΥΣΤΗΜΑΤΑ ΠΟΛΥΜΕΣΩΝ,877,2012,Εκδοτικός Οίκος Adam Turing,NTUA,P. HAVALDAR
960-7346-09-2,ΨΗΦΙΑΚΗ ΕΠΕΞΕΡΓΑΣΙΑ ΣΗΜΑΤΩΝ,1288,1994,Εκδοτικός Οίκος Adam Turing,NTUA,Γ ΚΑΡΑΓΙΑΝΝΗΣ
960-209-029-4,ΑΛΓΟΡΙΘΜΟΙ ΚΑΙ ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ,1152,1990,Εκδοτικός Οίκος Adam Turing,NTUA,NIKLAUS WIRTH
101-1312-8461,ΑΛΓΟΡΙΘΜΟΙ ΓΡΑΦΩΝ,1234,1990,Εκδοτικός Οίκος Adam Turing,NTUA,Φ. ΑΦΡΑΤΗ
9789605860431,ΑΛΓΟΡΙΘΜΟΙ,732,2016,Εκδοτικός Οίκος Adam Turing,NTUA,JEFF EDMONDS
101-1312-2453,ΑΛΓΟΡΙΘΜΟΙ ΚΑΙ ΠΟΛΥΠΛΟΚΟΤΗΤΑ,451,2009,Εκδοτικός Οίκος Adam Turing,NTUA,ΣΤΑΘΗΣ ΖΑΧΟΣ
980-418-030-4,"ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ, ΑΛΓΟΡΙΘΜΟΙ ΚΑΙ ΕΦΑΡΜΟΓΕΣ ΣΤΗ C++",322,2013,Εκδοτικός Οίκος Adam Turing,NTUA,SARTAJ SAHNI
960-7510-05-4,ΣΥΓΧΡΟΝΑ ΛΕΙΤΟΥΡΓΙΚΑ ΣΥΣΤΗΜΑΤΑ ΤΟΜΟΣ Β,1301,1992,Εκδοτικός Οίκος Adam Turing,NTUA,Α Σ TANENBAUM
978-960-461-200-0,ΣΥΓΧΡΟΝΑ ΛΕΙΤΟΥΡΓΙΚΑ ΣΥΣΤΗΜΑΤΑ,813,2011,Εκδοτικός Οίκος Adam Turing,NTUA,ANDREW S TANENBAUM
978-960-411-692-8,ΛΕΙΤΟΥΡΓΙΚΑ ΣΥΣΤΗΜΑΤΑ,1128,2009,Εκδοτικός Οίκος Adam Turing,NTUA,PETER B GALVIN
960-7530-32-2,ΕΙΣΑΓΩΓΗ ΣΤΑ ΣΗΜΑΤΑ ΚΑΙ ΣΥΣΤΗΜΑΤΑ,1166,2002,Εκδοτικός Οίκος Επεξεργασίας Σήματος,NTUA,Γ ΚΑΡΑΓΙΑΝΝΗΣ
978-960-8250-62-8,ΣΗΜΑΤΑ ΚΑΙ ΣΥΣΤΗΜΑΤΑ ΣΤΟ ΣΥΝΕΧΗ ΧΡΟΝΟ,905,1994,Εκδοτικός Οίκος Επεξεργασίας Σήματος,NTUA,ΓΙΑΝΝΗΣ ΓΚΑΡΟΥΤΣΟΣ
101-1312-4910,"ΑΣΚΗΣΕΙΣ ΣΤΑ ""ΣΗΜΑΤΑ ΚΑΙ ΣΥΣΤΗΜΑΤΑ"" ΜΕ ΤΙΣ ΛΥΣΕΙΣ ΤΟΥΣ",730,2000,Εκδοτικός Οίκος Επεξεργασίας Σήματος,NTUA,Γ ΚΑΡΑΓΙΑΝΝΗΣ
101-1312-9050,ΕΦΑΡΜΟΓΕΣ ΚΑΙ ΑΣΚΗΣΕΙΣ ΣΤΑ ΣΗΜΑΤΑ ΚΑΙ ΣΥΣΤΗΜΑΤΑ,482,2004,Εκδοτικός Οίκος Επεξεργασίας Σήματος,NTUA,Γ ΚΑΡΑΓΙΑΝΝΗΣ
960-7140-40-0,"ΣΗΜΑΤΑ, ΣΥΣΤΗΜΑΤΑ ΚΑΙ ΑΛΓΟΡΙΘΜΟΙ",794,1993,Εκδοτικός Οίκος Επεξεργασίας Σήματος,NTUA,ΝΙΚΟΣ ΚΑΛΟΥΠΤΣΙΔΗΣ
978960330733-4,ΣΗΜΑΤΑ ΚΑΙ ΣΥΣΤΗΜΑΤΑ,572,2012,Εκδοτικός Οίκος Επεξεργασίας Σήματος,NTUA,ALAN V OPPENHEIM
960-7225-13-9,ΗΛΕΚΤΡΟΝΙΚΗ ΙΙ,1164,2007,Εκδοτικός Οίκος Τηλεπικοινωνιών,NTUA,ΝΙΚΟΛΑΟΣ Φ. ΒΟΥΔΟΥΚΗΣ
960-418-004-5,ΗΛΕΚΤΡΟΝΙΚΗ ΓΡΑΜΜΙΚΑ ΟΛΟΚΛΗΡΩΜΕΝΑ ΚΥΚΛΩΜΑΤΑ,539,2003,Εκδοτικός Οίκος Τηλεπικοινωνιών,NTUA,Ι Ν ΛΥΓΟΥΡΑΣ
978-960-7225-05-4,ΗΛΕΚΤΡΟΝΙΚΗ Ι,696,2007,Εκδοτικός Οίκος Τηλεπικοινωνιών,NTUA,ΝΙΚΟΛΑΟΣ Φ. ΒΟΥΔΟΥΚΗΣ
101-1312-3714,ΣΗΜΕΙΩΣΕΙΣ ΜΙΚΡΟΗΛΕΚΤΡΟΝΙΚΗΣ,324,1994,Εκδοτικός Οίκος Τηλεπικοινωνιών,NTUA,ΙΩΑΝΝΗΣ Ν ΑΒΑΡΙΤΣΙΩΤΗΣ
978-960-254-669-7,ΟΠΤΟΗΛΕΚΤΡΟΝΙΚΗ,996,2007,Εκδοτικός Οίκος Τηλεπικοινωνιών,NTUA,JOHN WILSON
101-1312-7803,ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΟΠΤΟΗΛΕΚΤΡΟΝΙΚΗ,732,1989,Εκδοτικός Οίκος Τηλεπικοινωνιών,NTUA,ΣΕΡΑΦΕΤΙΝΙΔΗΣ
978-960-266-099-7,ΩΛΟΚΛΗΡΩΜΕΝΗ ΗΛΕΚΤΡΟΝΙΚΗ ΤΟΜΟΣ Α,1206,2000,Εκδοτικός Οίκος Τηλεπικοινωνιών,NTUA,JACOB MILLMAN
101-1312-1839,ΣΗΜΕΙΩΣΕΙΣ ΤΗΛΕΠΙΚΟΙΝΩΝΙΑΚΗ ΗΛΕΚΤΡΟΝΙΚΗ,686,1998,Εκδοτικός Οίκος Τηλεπικοινωνιών,NTUA,Ν ΟΥΖΟΥΝΟΓΛΟΥ
978-960-266-100-0,ΩΛΟΚΛΗΡΩΜΕΝΗ ΗΛΕΚΤΡΟΝΙΚΗ ΤΟΜΟΣ Β,1458,1994,Εκδοτικός Οίκος Τηλεπικοινωνιών,NTUA,ΧΡΗΣΤΟΣ ΧΑΛΚΙΑΣ
960-7219-12-0,ΒΑΣΙΚΗ ΗΛΕΚΤΡΟΝΙΚΗ,868,2009,Εκδοτικός Οίκος Τηλεπικοινωνιών,NTUA,ALBERT P MALVINO
960-7219-21-X,ΕΓΧΕΙΡΙΔΙΟ ΗΛΕΚΤΡΟΝΙΚΗΣ,726,1992,Εκδοτικός Οίκος Τηλεπικοινωνιών,NTUA,MILTON KAUFMAN
960-7219-83-Χ,ΜΙΚΡΟΗΛΕΚΤΡΟΝΙΚΗ ΤΟΜΟΣ Β,304,1999,Εκδοτικός Οίκος Τηλεπικοινωνιών,NTUA,RICHARD JAEGER
101-1312-5864,ΗΛΕΚΤΡΟΝΙΚΗ,1389,2006,Εκδοτικός Οίκος Τηλεπικοινωνιών,NTUA,Ι. Μ. ΚΟΝΤΟΛΕΟΝΤΟΣ
960-01-0922-2,ΚΟΙΝΩΝΙΟΛΟΓΙΑ,1397,2002,Εκδοτικός Οίκος Τηλεπικοινωνιών,NTUA,ANTHONY GIDDENS
101-1312-8999,GRAMMATICAL MAN : ΑΝΘΡΩΠΟΣ ΚΑΙ ΠΛΗΡΟΦΟΡΙΚΑ ΣΥΣΤΗΜΑΤΑ,1109,1985,Νήσος,NTUA,JEREMY CAMPBELL
978-960-6706-43-1,ΙΑΤΡΙΚΗ ΠΛΗΡΟΦΟΡΙΚΗ ΤΟΜΟΣ Α,1240,2011,Νήσος,NTUA,ΠΑΝΤΕΛΗΣ ΑΓΓΕΛΙΔΗΣ
978-618-5066-19-2,ΤΑ ΘΕΜΕΛΙΑ ΤΗΣ ΠΛΗΡΟΦΟΡΙΚΗΣ,969,2014,Νήσος,NTUA,ΣΤΑΘΗΣ ΖΑΧΟΣ
101-1312-2100,WHO IS WHO ΠΛΗΡΟΦΟΡΙΚΗ,983,1989,Νήσος,NTUA,920
101-1312-1148,ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΕΠΙΣΤΗΜΗ ΤΩΝ ΥΠΟΛΟΓΙΣΤΩΝ,1369,2008,Νήσος,NTUA,ΝΕΚΤΑΡΙΟΣ ΚΟΖΥΡΗΣ
101-1312-1643,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ ΕΡΓΩΝ,1272,2001,Νήσος,NTUA,ΓΡΗΓΟΡΗΣ ΜΕΝΤΖΑΣ
101-1312-4015,ΔΙΟΙΚΗΣΗ ΕΡΓΩΝ,836,2012,Νήσος,NTUA,ΓΡΗΓΟΡΗΣ ΜΕΝΤΖΑΣ
1562760017,ΔΙΚΤΥΑ ΚΑΙ ΕΠΙΚΟΙΝΩΝΙΕΣ ΠΡΟΣΩΠΙΚΩΝ ΥΠΟΛΟΓΙΣΤΩΝ,1200,1992,Εκδοτικός Οίκος Τηλεπικοινωνιών,NTUA,FRANK JR J DERFLER
101-1312-3618,COMPUTER NETWORKS ΔΙΚΤΥΑ ΕΠΙΚΟΙΝΩΝΙΑΣ ΥΠΟΛΟΓΙΣΤΩΝ RESEAUX D'ORDINATEURS,503,1980,Εκδοτικός Οίκος Τηλεπικοινωνιών,NTUA,621381
101-1312-7210,ΤΟΠΙΚΑ ΔΙΚΤΥΑ ΥΠΟΛΟΓΙΣΤΩΝ,409,1994,Εκδοτικός Οίκος Τηλεπικοινωνιών,NTUA,STAN SCHATT
978-960-418-129-2,ΕΠΙΚΟΙΝΩΝΙΕΣ ΚΑΙ ΔΙΚΤΥΑ ΥΠΟΛΟΓΙΣΤΩΝ,498,2007,Εκδοτικός Οίκος Τηλεπικοινωνιών,NTUA,ΣΠΥΡΟΣ ΠΑΝΕΤΣΟΣ
978-960-461-266-6,ΔΙΚΤΥΑ ΥΠΟΛΟΓΙΣΤΩΝ,356,2009,Εκδοτικός Οίκος Τηλεπικοινωνιών,NTUA,LARRY L. PETERSON
101-1312-8464,ΑΡΧΕΙΑ ΚΑΙ ΒΑΣΕΙΣ ΔΕΔΟΜΕΝΩΝ,593,1989,Εκδοτικός Οίκος Neumann,NTUA,Κ. ΜΑΡΙΝΑΚΗΣ
101-1312-9808,ΦΩΤΟΝΙΚΗ ΤΕΧΝΟΛΟΓΙΑ ΓΙΑ ΤΗΛΕΠΙΚΟΙΝΩΝΙΕΣ,1216,1994,Εκδοτικός Οίκος Τηλεπικοινωνιών,NTUA,ΗΡΑΚΛΗΣ ΑΒΡΑΜΟΠΟΥΛΟΣ
960-220-086-3,ΤΗΛΕΠΙΚΟΙΝΩΝΙΕΣ ΚΑΙ ΔΙΚΤΥΑ ΥΠΟΛΟΓΙΣΤΩΝ,1453,1991,Εκδοτικός Οίκος Τηλεπικοινωνιών,NTUA,ΑΡΗΣ ΑΛΕΞΟΠΟΥΛΟΣ
960-7888-54-5,ΤΗΛΕΠΙΚΟΙΝΩΝΙΕΣ ΟΠΤΙΚΩΝ ΙΝΩΝ,1280,1999,Εκδοτικός Οίκος Τηλεπικοινωνιών,NTUA,Ν ΟΥΖΟΥΝΟΓΛΟΥ
101-1312-6421,ΟΙ ΤΗΛΕΠΙΚΟΙΝΩΝΙΕΣ : ΕΛΕΓΧΟΜΕΝΗ ΕΛΕΥΘΕΡΙΑ,373,1994,Εκδοτικός Οίκος Τηλεπικοινωνιών,NTUA,MICHEL CARPENTIER
101-1312-6363,ΤΕΧΝΙΚΗ ΗΜΕΡΙΔΑ IEEE ΕΛΛΑΔΑΣ - ΚΥΠΡΟΥ ΠΛΗΡΟΦΟΡΙΚΗ ΚΑΙ ΤΗΛΕΠΙΚΟΙΝΩΝΙΕΣ,1215,1989,Εκδοτικός Οίκος Τηλεπικοινωνιών,NTUA,ΕΜΠ
101-1312-8033,ΔΟΡΥΦΟΡΙΚΕΣ ΤΗΛΕΠΙΚΟΙΝΩΝΙΕΣ,480,1989,Εκδοτικός Οίκος Τηλεπικοινωνιών,NTUA,ΧΡΗΣΤΟΣ Ν ΚΑΨΑΛΗΣ
960-7510-15-1,ΕΙΣΑΓΩΓΗ ΣΤΙΣ ΤΗΛΕΠΙΚΟΙΝΩΝΙΕΣ,540,1994,Εκδοτικός Οίκος Τηλεπικοινωνιών,NTUA,ΦΙΛΙΠΠΟΣ ΚΩΝΣΤΑΝΤΙΝΟΥ
101-1312-9096,ΕΙΣΑΓΩΓΗ ΣΤΗ ΒΙΟΪΑΤΡΙΚΗ ΚΑΙ ΚΥΤΤΑΡΙΚΗ ΜΗΧΑΝΙΚΗ,1468,2004,MQN,NTUA,ΔΙΔΩ ΓΙΟΒΑ
978-960-266-058-4,ΜΗΧΑΝΙΚΗ ΠΑΡΑΜΟΡΦΩΣΙΜΩΝ ΣΩΜΑΤΩΝ Ι,385,1990,MQN,NTUA,Γ Ι ΤΣΑΜΑΣΦΥΡΟΣ
978-960-266-335-6,ΜΗΧΑΝΙΚΗ ΤΟΥ ΑΠΟΛΥΤΩΣ ΣΤΕΡΕΟΥ,1124,2012,MQN,NTUA,ΑΝΑΣΤΑΣΙΟΣ ΜΑΥΡΑΓΑΝΗΣ
960-825-007-2,ΕΙΣΑΓΩΓΗ ΣΤΗ ΚΒΑΝΤΟΜΗΧΑΝΙΚΗ,658,1994,MQN,NTUA,ΓΙΑΝΝΗΣ ΓΚΑΡΟΥΤΣΟΣ
960-8250-27-7,ΤΕΧΝΙΚΗ ΜΗΧΑΝΙΚΗ ΙΙ,1493,1994,MQN,NTUA,ΓΙΑΝΝΗΣ ΓΚΑΡΟΥΤΣΟΣ
101-1312-5140,ΜΗΧΑΝΙΚΗ ΠΑΡΑΜΟΡΦΩΡΩΝ ΣΩΜΑΤΩΝ,1167,1985,MQN,NTUA,Κ Μ ΜΥΛΩΝΑΣ
101-1312-3993,ΗΛΕΚΤΡΙΚΑΙ ΜΗΧΑΝΑΙ,1497,1973,MQN,NTUA,ΙΩΑΝΝΗΣ ΤΕΓΟΠΟΥΛΟΣ
101-1312-9951,ΠΡΟΒΛΗΜΑΤΑ ΦΥΣΙΚΗΣ,1145,2007,MQN,NTUA,ΘΕΟΔΩΡΟΣ Η. ΑΛΕΞΟΠΟΥΛΟΣ
960-7182-64-7,ΝΕΥΡΩΝΙΚΑ ΔΙΚΤΥΑ KAI ΜΗΧΑΝΙΚΗ ΜΑΘΗΣΗ,419,2010,MQN,NTUA,SIMON HAYKIN
101-1312-3691,ΜΗΧΑΝΙΚΗ Ι ΚΙΝΗΜΑΤΙΚΗ & ΔΥΝΑΜΙΚΗ ΤΟΥ ΥΛΙΚΟΥ ΣΗΜΕΙΟΥ,398,1984,MQN,NTUA,Κ Μ ΜΥΛΩΝΑΣ
978-960-418-160-5,ΕΙΣΑΓΩΓΗ ΣΤΗ ΡΟΜΠΟΤΙΚΗ,1061,2013,MQN,NTUA,JOHN J CRAIG
9608250196,ΜΗΧΑΝΙΚΗ ΠΑΡΑΜΟΡΦΩΣΙΜΟΥ ΣΤΕΡΕΟΥ Ι,321,2003,MQN,NTUA,ΓΙΑΝΝΗΣ ΓΚΑΡΟΥΤΣΟΣ
101-1312-2640,ΤΕΧΝΙΚΗ ΜΗΧΑΝΙΚΗ ΙΙΙ,318,1994,MQN,NTUA,ΓΙΑΝΝΗΣ ΓΚΑΡΟΥΤΣΟΣ
978-960-461-508-7,ΦΥΣΙΚΗ ΓΙΑ ΕΠΙΣΤΗΜΟΝΕΣ ΚΑΙ ΜΗΧΑΝΙΚΟΥΣ,1372,2012,MQN,NTUA,RAYMOND A SERWAY
960-418-031-2,ΗΛΕΚΤΡΟΜΗΧΑΝΙΚΗ ΤΩΝ ΒΙΟΛΟΓΙΚΩΝ ΡΕΥΣΤΩΝ,867,2004,MQN,NTUA,ΔΗΜΗΤΡΗΣ ΚΟΥΤΣΟΥΡΗΣ
960-7225-10-4,ΚΒΑΝΤΟΜΗΧΑΝΙΚΗ 2,618,2005,MQN,NTUA,ΕΔΟΥΑΡΔΟΣ ΣΠ. ΛΑΓΑΝΑΣ
978-960-524-267-1,ΚΒΑΝΤΟΜΗΧΑΝΙΚΗ II,1231,2008,MQN,NTUA,ΣΤΕΦΑΝΟΣ ΤΡΑΧΑΝΑΣ
978-960-524-206-0,ΚΒΑΝΤΟΜΗΧΑΝΙΚΗ Ι,1438,2007,MQN,NTUA,ΣΤΕΦΑΝΟΣ ΤΡΑΧΑΝΑΣ
101-1312-4065,ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΚΒΑΝΤΟΜΗΧΑΝΙΚΗ,440,2015,MQN,NTUA,Σ. ΜΑΛΤΕΖΟΣ
978-960-266-078-2,ΜΗΧΑΝΙΚΗ ΠΑΡΑΜΟΡΦΩΣΙΜΩΝ ΣΩΜΑΤΩΝ ΙΙ,1158,1991,MQN,NTUA,Γ Ι ΤΣΑΜΑΣΦΥΡΟΣ
960-411-139-6,ΤΕΧΝΙΚΗ ΜΗΧΑΝΙΚΗ,1468,2009,MQN,NTUA,Σ.Α. ΠΑΪΠΕΤΗΣ
960-7225-09-0,ΚΒΑΝΤΟΜΗΧΑΝΙΚΗ 1,1340,1999,MQN,NTUA,ΕΔΟΥΑΡΔΟΣ ΣΠ. ΛΑΓΑΝΑΣ
978-960-8250-56-7,ΦΥΣΙΚΗ Ι ΜΗΧΑΝΙΚΗ,1051,1994,MQN,NTUA,ΓΙΑΝΝΗΣ ΓΚΑΡΟΥΤΣΟΣ
101-1312-8407,ΜΗΧΑΝΙΚΗ Ι : ΚΙΝΗΜΑΤΙΚΗ ΚΑΙ ΔΥΝΑΜΙΚΗ ΤΟΥ ΥΛΙΚΟΥ ΣΗΜΕΙΟΥ,588,1978,MQN,NTUA,Κ Μ ΜΥΛΩΝΑΣ
101-1312-7519,ΜΗΧΑΝΙΚΗ ΜΑΘΗΜΑΤΑ ΦΥΣΙΚΗΣ ΠΑΝΕΠΙΣΤΗΜΙΟΥ BERKELEY,1150,1977,MQN,NTUA,CHARLES KITTEL
0-201-00161-6,ΘΕΜΕΛΙΩΔΗΣ ΠΑΝΕΠΙΣΤΗΜΙΑΚΗ ΦΥΣΙΚΗ,559,1981,MQN,NTUA,Α ΦΙΛΙΠΠΑΣ
978960330718-1,ΜΗΧΑΝΙΚΗ ΤΩΝ ΥΛΙΚΩΝ,711,2011,MQN,NTUA,R. C. HIBBELER
0-07-084357-0,ΘΕΩΡΗΤΙΚΗ ΜΗΧΑΝΙΚΗ,397,1985,MQN,NTUA,MURRAY R. SPIEGEL
101-1312-1259,ΜΗΧΑΝΙΚΗ ΠΑΡΑΜΟΡΦΩΤΩΝ ΣΩΜΑΤΩΝ ΙΙ,605,1983,MQN,NTUA,Κ Μ ΜΥΛΩΝΑΣ
960-7225-21-Χ,ΘΕΜΑΤΑ ΦΥΣΙΚΗΣ Ι - ΜΗΧΑΝΙΚΗ,647,2007,MQN,NTUA,ΠΑΝΑΓΙΩΤΗΣ Φ. ΜΟΙΡΑΣ
960-02-1067-5,"ΜΗΧΑΝΙΚΗ, ΘΕΡΜΟΔΥΝΑΜΙΚΗ",906,1994,MQN,NTUA,HUGH D YOUNG
978-960-330-716-7,ΔΥΝΑΜΙΚΗ,814,2011,MQN,NTUA,R. C. HIBBELER
