number,isbn,position
1,101-1312-4065,531.1133
1, 978-960-266-078-2,620.1123 
2, 978-960-266-078-2,620.1123 
1, 960-411-139-6,620.1
1, 960-7225-09-0,530.12
1, 978-960-8250-56-7,531
2, 978-960-8250-56-7,531
3, 978-960-8250-56-7,531
4, 978-960-8250-56-7,531
5, 978-960-8250-56-7,531
6, 978-960-8250-56-7,531
7, 978-960-8250-56-7,531
8, 978-960-8250-56-7,531
9, 978-960-8250-56-7,531
10, 978-960-8250-56-7,531
11, 978-960-8250-56-7,531
12, 978-960-8250-56-7,531
13, 978-960-8250-56-7,531
14, 978-960-8250-56-7,531
15, 978-960-8250-56-7,531
16, 978-960-8250-56-7,531
17, 978-960-8250-56-7,531
18, 978-960-8250-56-7,531
19, 978-960-8250-56-7,531
20, 978-960-8250-56-7,531
21, 978-960-8250-56-7,531
22, 978-960-8250-56-7,531
23, 978-960-8250-56-7,531
24, 978-960-8250-56-7,531
25, 978-960-8250-56-7,531
26, 978-960-8250-56-7,531
27, 978-960-8250-56-7,531
1,101-1312-8407,531
1,101-1312-7519,530
1, 0-201-00161-6,530
1, 978960330718-1,620.112 
1, 0-07-084357-0,531
1,101-1312-1259,620.1123
1, 960-7225-21-Χ,531
2, 960-7225-21-Χ,531
3, 960-7225-21-Χ,531
4, 960-7225-21-Χ,531
5, 960-7225-21-Χ,531
1, 960-02-1067-5,530
2, 960-02-1067-5,530
1, 978-960-330-716-7,620.1054
1, 978-960-7225-17-1,531
2, 978-960-7225-17-1,531
3, 978-960-7225-17-1,531
4, 978-960-7225-17-1,531
5, 978-960-7225-17-1,531
1,101-1312-7225,621.3813
1, 9608250218,620.1123
1,101-1312-6560,ΡΖ8
1, 960-254-531-3,531
1, 960-8250-34-χ,620.1
2, 960-8250-34-χ,620.1
1,101-1312-9552,511.6
2,101-1312-9552,511.6
1, 978-960-461-325-0,511.6
2, 978-960-461-325-0,511.6
3, 978-960-461-325-0,511.6
1, 978960011239,511.1 ΚΥΡ
1, 978-960-418-394-4,511
2, 978-960-418-394-4,511
3, 978-960-418-394-4,511
1, 978-960-418-144-5,511
2, 978-960-418-144-5,511
3, 978-960-418-144-5,511
4, 978-960-418-144-5,511
5, 978-960-418-144-5,511
6, 978-960-418-144-5,511
1, 978-960-9400-25-1,515
2, 978-960-9400-25-1,515
3, 978-960-9400-25-1,515
4, 978-960-9400-25-1,515
5, 978-960-9400-25-1,515
6, 978-960-9400-25-1,515
7, 978-960-9400-25-1,515
8, 978-960-9400-25-1,515
1,101-1312-3454,515
1, 978-960-8250-70-2,515
2, 978-960-8250-70-2,515
3, 978-960-8250-70-2,515
4, 978-960-8250-70-2,515
5, 978-960-8250-70-2,515
6, 978-960-8250-70-2,515
7, 978-960-8250-70-2,515
8, 978-960-8250-70-2,515
9, 978-960-8250-70-2,515
10, 978-960-8250-70-2,515
11, 978-960-8250-70-2,515
12, 978-960-8250-70-2,515
13, 978-960-8250-70-2,515
14, 978-960-8250-70-2,515
1, 978-960-9400-06-0,515
2, 978-960-9400-06-0,515
3, 978-960-9400-06-0,515
4, 978-960-9400-06-0,515
5, 978-960-9400-06-0,515
6, 978-960-9400-06-0,515
7, 978-960-9400-06-0,515
1, 978-618-5066-11-6,515
2, 978-618-5066-11-6,515
3, 978-618-5066-11-6,515
4, 978-618-5066-11-6,515
5, 978-618-5066-11-6,515
1, 960-8250-40-4,515
2, 960-8250-40-4,515
1, 978-960-7888-82-2,515
1, 978-960-9400-06-0,515
1, 978-618-5066-11-6,515
2, 978-618-5066-11-6,515
1, 960-423-532-Χ,515
1,101-1312-4441,515
1, 9789608250697,515
