AuthorId,Name,Surname,Birthdate
77,ΑΝΑΣΤΑΣΙΟΣ,ΜΑΥΡΑΓΑΝΗΣ,1937
78,Κ Μ,ΜΥΛΩΝΑΣ,1956
79,ΙΩΑΝΝΗΣ,ΤΕΓΟΠΟΥΛΟΣ,1977
80,ΘΕΟΔΩΡΟΣ Η.,ΑΛΕΞΟΠΟΥΛΟΣ,1975
81,SIMON,HAYKIN,1964
82,JOHN J,CRAIG,1961
83,ΔΗΜΗΤΡΗΣ,ΚΟΥΤΣΟΥΡΗΣ,1955
84,ΕΔΟΥΑΡΔΟΣ ΣΠ.,ΛΑΓΑΝΑΣ,1963
85,ΣΤΕΦΑΝΟΣ,ΤΡΑΧΑΝΑΣ,1964
86,Σ.,ΜΑΛΤΕΖΟΣ,1936
87,Σ.Α.,ΠΑΪΠΕΤΗΣ,1974
88,CHARLES,KITTEL,1977
89,Α,ΦΙΛΙΠΠΑΣ,1935
90,R. C.,HIBBELER,1941
91,Χ. Δ,ΠΑΠΑΓΕΩΡΓΙΟΥ,1972
92,ΜΙΧΑΛΗΣ Π,ΠΑΠΑΔΟΠΟΥΛΟΣ,1972
93,ΑΛΕΞΑΝΔΡΟΣ Χ,ΠΑΠΑΪΩΑΝΝΟΥ,1959
94,Susanna S.,Epp,1936
95,Ε.,ΚΥΡΟΥΣΗΣ,1955
96,KENNETH H,ROSEN,1934
97,ΘΕΜΙΣΤΟΚΛΗΣ Μ.,ΡΑΣΣΙΑΣ,1950
98,LOUIS,BRAND,1977
99,ΠΑΝΑΓΙΩΤΗΣ Χ.,ΤΣΕΚΡΕΚΟΣ,1938
